Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
French 33,,,,"1.5 oz No.3 London Dry Gin, .75 oz Simple syrup, .75 oz Lime juice",Grapefruit twist,Champagne Flute,"Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.",
20th Century,,,,"1.5 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Tempus Fugit Creme de Cacao, .75 oz Fresh Lemon Juice",,N/A,Shake with ice. Strain into a chilled cocktail glass.,
Vesper,,,,"2.25 oz No.3 London Dry Gin, .75 oz Hophead Vodka, .5 oz Tempus Fugit Kina L'Aero d'Or",Lemon peel,Martini,Shake with ice. Strain into chilled martini glass. Garnish with lemon peel.,
The Seniorita,,,,"1.5 oz The Genuine Curacao Liqueur Orange, .5 oz Lime Juice, 1.5 oz Thai Coconut Milk, 2 dash Angostura Bitters, 1 float Gosslings 151 Rum","Luxardo Cherries, Mint Sprig",Rocks Glass,Shake with ice. Strain into rocks glass and top with crushed ice. Float 1 oz. of Gosslings 151 rum on top.  Garnish with mint and Luxardo Maraschino Cherries.,*Ice: Crushed & Bar ice
Champs Élysées,Rafael Jimenez Rivera,Urchin Bistrot,San Francisco,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters",Lemon wheel,Coupe,Shake with intent. Double strain in coupe. Garnish with lemon wheel.,
The Double Crown,Jeff Bell,PDT,New York,"1.25 oz Compass Box Great King Street Glasgow Blend, .75 oz Lemon Juice, .5 oz Cyril Zangs Double Zero Eau de Vie de Cidre, .5 oz King's Ginger Liqueur, .5 oz Honey Syrup, 1  Egg White",Sage Leaf,Egg Coupe,"Shake without ice, add ice and shake again then fine strain into a chilled egg coupe. Garnish with a Sage leaf.",
Flip the Bird,Kate Grutman,,Los Angeles,"1.5 oz Pink Pigeon Rum, .75 oz Simple syrup, .75 oz Cream, .5 oz Punt e Mes, 1  Egg yolk",Cinnamon,Port Glass,"Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
",
Mauritius Sour,,,,".75 oz Pink Pigeon Rum, .75 oz Hirsch Small Batch Reserve Bourbon, .5 oz Angostura Bitters, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,Coupe,"Shake, and fine strain into a chilled coupe, and garnish with a Luxardo Cherry.",Something light and refreshing for all palates while still allowing the rum to shine through. The perfect balance of sweet and sour.
I'm Only Happy when it Rains,Carlo Splendorini ,Michael Mina Restaurant Group,San Francisco,"1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice ",,N/A,"Shake, double strain into a Burgundy Glass.",
Monet,,The Forgery,San Francisco,"1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup",Lemon Twist,Coupe,"Shake, fine strain into a chilled coupe. Garnish with lemon twist.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Hippi Hill,Karri Cormican,Comstock Saloon,San Francisco,"1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice",Lime Wheel,Coupe,"Shake, fine strain into chilled coupe. Garnish with lime wheel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Buster Crusta,Ryan Fitzgerald,ABV,San Francisco,"2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet",,Coupe,"Shake, fine strain into chilled frosted coupe, float Fernet.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Bird On,Kelly O'Hare,Small Victory,Austin,".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice",Lemon Wedge,N/A,"Shake, serve on the rocks, garnish with a lemon wedge.",
Iron Tonic,,Beretta,San Francisco,".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water",,Coupe,"Shake, strain into a chilled coupe, float tonic water.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
King's Medicine,,Blackbird,San Francisco,"1.5 oz King's Ginger Liqueur, .75 oz Lemon Juice, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO",Lemon Twist,Coupe,"Shake, strain into a chilled coupe. Garnish with lemon twist.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Where's the Orgeat?,Jackie Goldstein,ABV,San Francisco,"2 oz H by HINE, 1 oz Small Hand Foods Orgeat, .75 oz Lemon Juice, .5 oz Luxardo Apricot Liqueur, 3 dash Angostura Bitters",Lemon Twist,Coupe,"Shake, strain into a chilled coupe. Garnish with lemon twist.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Fortune & Glory,,Rickhouse,San Francisco,"1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters",Lime Wheel,Coupe,"Shake, strain into a chilled coupe. Garnish with lime wheel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Pisco Punch (Adaptation by The Comstock Saloon),,Comstock Saloon,San Francisco,"1.5 oz BarSol Selecto Italia Pisco, .75 oz Small Hand Foods Pineapple Gum Syrup, .75 oz Lemon Juice, 3 dash Kaffir Tincture",Lemon Peel,Flip Glass,"Shake, strain into a chilled flip glass with one cube. Garnish with lemon peel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Cupid's Carrier Pigeon,,,,"1 oz No.3 London Dry Gin, 1 oz Velvet Falernum, .75 oz Pink Pigeon Rum, 1 oz Unfiltered Apple Juice, 1 oz Lime juice, 3 dash Angostura bitters",Mint Sprig,Tiki glass,"Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

",
The Fall 75,Nicole Hassoun,The Gin Joint,Charleston,"1 oz Junipero Gin, 1 oz Spiced kuri squash purée*, 2 dash Fresh lemon, 2 dash Honey syrup",,Coupe,"Shake, strain into coupe glass. Top with sparkling wine and a sprig of lemon balm.","*Spiced kuri squash purée:

Ingredients
1 kuri squash, cubed
1 cinnamon stick
1 tsp cardamom pods
1 tsp coriander seeds
1 tsp juniper
1 tsp black pepper
2 cloves
3 cups water
.5 cup maple syrup

Instructions
Cook everything in saucepan until squash is very soft. Strain through fine mesh sieve, refrigerate. Serve or use it to make the cocktail above.


http://www.washingtonpost.com/express/wp/2014/10/16/the-gin-joints-recipe-for-a-fall-75-cocktail-from-bartender-nicole-hassoun/"
Kentucky Mai Tai,,Ace Hotel,Los Angeles,"1 oz Mezcal, 1 oz Bourbon, .5 oz Lemon, .5 oz Peche de Vigne, .5 oz Cynar, .5 oz Orgeat, 4 dash Angostura Bitters","Mint Sprig, Cherry",Highball Glass,"Shake, strain over crushed ice in a highball. Garnish with a mint sprig and a cherry.",
Drink Lab #16,Zachary Pearson,,,"2 oz Brandy, .75 oz Orgeat, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice, 10 drops Bittermens Burlesque Bitters",Lemon Twist,N/A,"Shake, strain, lemon twist garnish.",
Grey Anchor,Jason Westplate,,,"2 oz Hophead Vodka, .75 oz Lime Juice, .5 oz St. Germaine Elderflower Liqueur, .25 oz Luxardo Maraschino Liqueur, 5 drops Bittercube Door County Hop Bitters",Lime Peel Twist,N/A,"Shake, strain, up, garnish.",
Pumpkin & Pecan,Collin Nicholas,Mourad,San Francisco,"2 oz H by HINE, .5 oz Toasted Pecan Syrup, .75 oz Lemon Juice, .5 oz Cynar, 1 bsp Spiced Pumpkin Butter, 2 dash Cinnamon Tincture",Orange Peel,N/A,Shake. Double strain. King cube. Orange peel garnish,
The Red Anchor,,,,"1.75 oz Junipero Gin, .75 oz Lemon Juice, .5 oz Grapefruit Juice, .5 oz Tempus Fugit Kina L'Aero d'Or, .25 oz Ginger Syrup, .25 oz Simple Syrup (1.5 : 1)",Grapefruit Slice,Rocks Glass,Shake. Serve in small rocks glass with no ice. Grapefruit slice to garnish.,
Holland House,Jason Patz,Union Lodge No.1,Denver,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup","Lemon Peel, Pineapple",Cocktail Glass,Shake. Serve up. Garnish with lemon peel/pineapple.,
Last Samurai,Nate Matson,Mizu Izakaya,Denver,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau",Lime Wheel,Cocktail Glass,Shake. Serve up. Garnish with lime wheel.,
Long Division,Brandon Weiss,Departure,Denver,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice",Lime Peel,Champagne Flute,Shake. Serve up. Top with sparkling rose. Garnish with lime peel.,
Sidecar,Sean Gleason,Biltong Bar,Atlanta,"2 oz HINE Rare VSOP, .75 oz Mathilde Orange XO Liqueur, .75 oz Lemon Juice, 1 tsp Demerara Syrup (2:1)",Lime Twist,Coupe,Shake. Strain into a coupe. Garnish with a lime twist.,
Spiced Marmalade,Kevin Diedrich,,,"2 oz Junipero Gin, 1 bsp Orange marmalade, .5 oz Lemon juice, 1 oz Orange juice, .25 oz Simple syrup, 2 dash Orange bitters, 4  Cloves torched & muddled",Lemon twist,Coupe,"shake/2strain/coupe

garnish lemon twist",
Mezcal Witch,Kevin Diedrich,,,"2 oz Mezcal, .75 oz Lime, .75 oz Strega, .75 oz Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt",Cucumber slice,Coupe,"shake/2xstrain/coupe

garnish cucumber slice",
Italian Margarita,,Grimaldi's Pizzeria,,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup",,N/A,Shaken and served over ice.,
A Bloody Shame,Brian Means,Dirty Habit,San Francisco,"1.5 oz Vodka, .5 oz Luxardo Amaretto di Saschira, .75 oz Blood Orange Vanilla Mint Puree*, .75 oz Lime Juice",Lime Wheel,Coupe,"Shaken and strained into a large coupe. Garnish with a dehydrated lime wheel soaked in Angostura Bitters.

*Blood Orange Vanilla Mint Puree:
-- 1 container Boiron Blood Orange Puree (34 oz.)
-- 39 grams Mint (stems and leaves)
-- 1 tsp Vanilla Extract
-- 30 oz White Sugar

Combine all the ingredients except the mint in a pot. 
Bring to a light simmer, stirring to incorporate everything.
Then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint.
Label and date a container, then place in your fridge. Use within a week.",
Full of Bologna,Brian Means,Dirty Habit,San Francisco,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice",Mint Oil,Coupe,Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,
Donaji,Julian Cox,,,"2 oz Mezcal, .5 oz Fresh Lemon Juice, .5 oz Fresh Lime Juice, .75 oz Agave Nectar","Chapuline, Salt & Chile Pepper Rim*",Rocks Glass,"Shaken and strained over ice in a rocks glass.

*Chapuline, Salt & Chile Pepper Rim:
Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder.",
Monkey Gland,,,,"2 oz No.3 London Dry Gin, 1 oz Orange juice, .25 oz Grenadine, 1 dash Duplais Swiss Absinthe Blanche",Orange peel,N/A,Shaken and strained. Orange peel garnish.,
You Go Glen Coco,Crystal Chasse,Dirty Habit,San Francisco,"1.25 oz Old Potrero Straight Rye Whiskey (Toasted Coconut Infused)*, .5 oz King's Ginger Liqueur, 1.25 oz Turmeric Coconut Cream**",Turmeric Toasted Coconut Flakes,Old Fashioned Glass,"Shaken slightly. Served over shaved ice in an old fashioned glass. Garnished with turmeric toasted coconut flakes.

*Toasted Coconut Infused Old Potrero
-- 750ml Old Potrero Straight Rye Whiskey
-- 2.5 oz Toasted Coconut

Combine all ingredients in a clean container and let sit for 8 hours.
Strain through cheesecloth and then funnel back into your Old Potrero bottles.
Keeps indefinitely.

**Turmeric Coconut Cream:
-- 12 g Fresh Turmeric
-- 1 c Water
-- 1 c Honey
-- 3 tsp Black Pepper
-- 12 oz Coconut Milk

Grate fresh turmeric into 1 cup water.
Bring to a boil, add 1 cup of honey and stir.
Remove from heat and let the mix sit for 1:30 hours.
Strain out turmeric and add 3 tsp. ground black pepper.
Add 12 oz. coconut milk and stir.
Place in an airtight container and keep in the fridge. Use within a week.",
Just Beet It,Sarah Ruiz,Dirty Habit,San Francisco,"1.5 oz Junipero Gin, 1 oz Beet Thyme Reduction*, .5 oz Licor 43, .5 oz Lemon Juice, .5  Egg White",Candied Thyme,Coupe,"Shaken without ice, then with ice and strained into a large coupe. Garnished with candied thyme.

*Beet Thyme Reduction
-- 520 grams raw beets 
-- 344 grams honey
-- 2 oranges peeled (just the peels)
-- 2 sprigs of thyme
-- pinch of salt

Juice beets, add honey and let dissolve and cook for 15 mins. 
Add thyme and simmer for 5 more mins. 
Strain through a chinois into a container and then place in the fridge.
This makes 1 quart, so multiply as needed.
Use within 1 week.",
Nectar of the Amazon,Matt Orth,LARK on the Park,Dallas,"2 oz Ypioca Cachaca Prata*, 1 oz Passion fruit juice, 1 oz Condensed milk",Macadamia nut,Highball Glass,"Shaken, poured over fresh ice in highball. Garnish with macadamia nut. Coconut shaved rim.",*Kiwi-infused Ypioca Cachaca Prata
Thyme for Bed,Lisa Brier,Skyfall Lounge,Las Vegas,"1.5 oz Chamucos Blanco Tequila, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Thyme Simple Syrup, .5 oz Lime Juice",Thyme Sprig,Coupe,Shaken.,
Mott and Mulberry,Leo Robitschek,Eleven Madison Park,New York,"1 oz Luxardo Amaro Abano, 1 oz Old Overholt Rye, .5 oz Demerara Simple Syrup (1:1), .5 oz Lemon Juice, .75 oz Fuji Apple Cider",Apple Fan,Rocks Glass,Shaker and strain into a rocks glass with fresh ice. Garnish with an Apple Fan.,
Carrier Pigeon (an Airmail with Pink Pigeon),Kate Grutman,,Los Angeles,"1 oz Pink Pigeon Rum, .5 oz Lime juice, .5 oz Honey",,Champagne Flute,"Short shake-strain into champagne flute- top with champagne. 
Drop a Luxardo cherry into the flute.
",
The King's Mulled Wine,,,,"1 bottle Red Wine, .3 bottle King's Ginger Liqueur, 3 Tbsp Caster Sugar, 2  Lemons, zested (plus flesh of one lemon), 1  Orange, zested, 1 stick Cinnamon, 1 dash Nutmeg, 1  Star Anise",,N/A,"Simmer over low heat for 3 hours, double strain with fine sieve.",
Tea & Sympathy,Andrew Kalini,Highlands,New York,"1 oz Avua Amburana Cachaça, 1 oz King's Ginger Liqueur, .5 oz Fresh Squeezed Lemon Juice, 1 bag Chai Tea",Lemon Wheel,Mug,"Soak 1 chai tea bag in half mug of hot water for 30 seconds, remove the tea bag, add all the ingredients, add more hot water. 

Lemon wheel stuffed with 4-5 cloves for garnish.",Featured in The King's Ginger Winter Warmer Program OND 2015
Huntsman,Kate Grutman,,,"2 oz Pink Pigeon Rum, 1 cube Brown Sugar","Orange Peel, Luxardo Cherry",Rocks Glass,"Soak brown sugar cube in Angostura and Orange bitters. Muddle soaked sugar cube into a paste in a rocks glass. Pour 2 oz. Pink Pigeon. Add ice and stir. Garnish with an orange peel and Luxardo Cherry.
",
The Callas Cocktail,Josh Bearden,,Houston,"1 oz Luxardo Bitter Bianco, .75 oz No.3 London Dry Gin, 1 bsp Pomegranate Cordial*, 1.25 oz Brachetto, 1  Sugar Cube, 8 dash Tempus Fugit Abbott's Bitters",Small Rose,Champagne Flute,"Soak cube in 8 dashes Abbott's Bitter. Drop sugar cube into bottom of flute glass. Stir, Luxardo, gin, and pomegranate cordial. Strain into flute glass. Top with Brachetto. Garnish with small rose, dipped in rose flower water.

*Pomegranate Cordial:
-- 48 oz Pomegranate Juice
-- 2.5 lbs White Sugar
-- 1 lb Turbinado Sugar
-- 8 Course Cracked Black Peppercorns
-- 2 Cloves
-- 5 Allspice Berries
-- 1 Tbsp Pomegranate Molasses
-- 1 oz Orange Flower Water

Mix all ingredients together in large saucepan. Stir on medium heat until all sugar is dissolved. Strain of spices. Bottle.",
Mauritian Buck,,,,"40 ml Pink Pigeon Rum, 40 ml Pressed apple juice,   Ginger ale,   Absinthe,   Lemon zest",Lemon wheel,Rocks Glass,"Spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel.",
The Cavalier White Lady,,The Cavalier,San Francisco,"1 oz Junipero Gin, .75 oz Creole Shrub, .75 oz Lemon juice, .25 oz Lemon bitters, .5 oz Simple syrup, 1  Egg white",Lemon verbana,Martini,"Spray of Lemon Verbana oil on the Martini glass. Combine all other ingredients and dry shake for 20 seconds. Add ice to the mixing tin and shake again. Double strain into a Martini glass. Garnish with fresh lemon verbena. Served in a martini.

",
Winter Season,Michael Blum,Bar Stella,Los Angeles,"2 oz Barr Hill Honey Gin, 1 oz Lemon Juice, .25 oz Liquid Alchemist Orgeat, .25 oz Luxardo Maraschino Liqueur, 1 bsp Dijon Blue Curaçao",,Coupe,"Spray the inside of the glass with absinthe, then sugar the external rim of the glass. Pour ingredients into a cocktail shaker. Shake and strain into the glass.",
Land of Valencia,Chase Ware,,Houston,".75 oz Luxardo Bitter Bianco, 1.5 oz Bols Genever, .5 oz Clarified Coconut Sugar Blood Orange Cordial*, 1 dash Copper & Kings Absinthe","Blood Orange Skin, Mint Sprigs",Old Fashioned Glass,"Spray vessel with absinthe as a rinse. Build cocktail in a stirring glass. Stir cocktail. Place a large format cube in the vessel. Pour cocktail over large format cube. 

To garnish, peel a blood orange skin and express the oils over the cocktail. Grab mint sprigs and slap over the top of hand to express oils, wrap the peel at the base of the mint sprigs, tie off with twine and set on top of large format cube.

*Clarified Coconut Sugar Blood Orange Cordial:
-- Blood Oranges
-- Agar Agar
-- Coconut Sugar

Juice blood oranges. Bring 1/4 of juice to a boil with agar agar. Pour cooked juice into the remaining 3/4 juice. Freeze the juice. Pull the block from the freezer and let drip through cheese cloth and perforated pan creating the clarified juice. Bring the juice together with a rich (2:1) coconut sugar creating a coconut sugar blood orange cordial.",
Smashing Great Pumpkins,William Golde,,,"1.5 oz Pumpkin vodka, .75 oz New York Apple Whisky, .75 oz King's Ginger Liqueur, .5 oz Hot water",,Demitasse Glass,Steam in steaming tin. Pour in Demitasse glass. Top with heavy whipping cream and nutmeg.,
Green and Gold,,,San Francisco,"750 ml bottle Karlsson's Gold Vodka, 5 sprigs Dill, 2 cloves Crushed Garlic, 1  Lemon Peel (white pith removed and julienned), 1 Tbsp Whole Peppercorns",,Martini,"Step one: Infuse the vodka
- Transfer ingredients including 750 ml of Karlsson's vodka to a canning jar or glass container. Close the container.
- Shake and rotate every few hours. Let infuse for 24 hours total.
- After 24 hours, strain the vodka through a cheesecloth or nutmilk bag.
- Transfer the vodka to a glass bottle. Store in the refrigerator or freezer until use.

Step two: Make the martini
- Stir 2-3 oz, depending on preference, of the infused vodka with ice.
- Strain into a chilled martini glass.
- Add pickled onions and peppers.",
Deviled Negroni ,,,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, 1 oz Luxardo Bitter",Lemon Peel,Rocks Glass,"Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube.","For a slightly sweeter version, replace Luxardo Bitter with Aperol."
El Mustavo,Coly Den,The Must,Los Angeles,"2 oz Mezcal, 1 oz Tempus Fugit Alessio Vermouth Chinato, 1 oz Campari, 2 dash Rhubarb Bitters, 2 dash Orange Bitters","Birch Smoked Sea Salt Rim, Bow Tie Orange Peel",N/A,Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.,
Temple of the Moon,Nandini Khaund,The Violet Hour,Chicago,"1 oz Junipero Gin, 1 oz BarSol Primero Quebranta Pisco, 1 oz Amaro Sibilla, .25 oz Simple syrup,  rinse St. George Absinthe, 3 drops Fee Brothers Orange Flower Water",Mint sprig,Old Fashioned Glass,"Stir all ingredients except for Absinthe and Orange Flower. Strain over a chunk/sphere of ice in an old fashioned glass. Garnish with a sprig of mint, with 3 drops of Orange Flower.",
Clear Intentions,Elaine Collum,,Houston,"1.5 oz Luxardo Bitter Bianco, .5 oz Krogstad Aquavit, 1 bsp Luxardo Apricot Liqueur, 1 dash Orange Cream Citrate, 1.25 oz Almond Cream Soda",Infused Olive & Cherry,Collins,Stir all ingredients over cubed ice and then strain over large rock while incorporating the cream soda. Garnish with Italian baking spice infused olive and cherry.,
The Queen Mother,Alex Smith,,,"1.75 oz Bombay Dry Gin, .75 oz Dubonnet Rouge, .5 oz King's Ginger Liqueur, 3 dash Lemon-Celery Bitters*",Lemon Peel,Footed Rocks Glass,"Stir all ingredients over ice and strain into a footed rocks glass. Garnish with a lemon peel.

*Equal parts lemon and celery bitters in a dasher bottle.",
Espèce de Sazerac,Toby Cecchini,The Long Island Bar,Brooklyn,"1 oz H by HINE, .5 oz Old Overholt Straight Rye Whiskey, .5 oz Rittenhouse Straight Rye Whisky, 1 bsp Rich Demerara Simple Syrup, 3 dash Peychaud's Bitters",,Rocks Glass,"Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard.",
Kanazawa,,,,"2 oz Nikka Coffey Grain Whisky, .75 oz Dry Vermouth, .25 oz Luxardo Amaro Abano, 1 bsp Luxardo Maraschino Liqueur, 1 dash Angostura Bitters",Orange Peel,Cocktail Glass,"Stir all ingredients until well chilled, and strain into a chilled cocktail glass.
Garnish with an orange peel with oils squeeze over cocktail.",
Frisco San,,,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Benedictine, 1 dash Angostura Bitters",Lemon peel,Martini,Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.,
Sidewinder,Phil Ward,Death & Co.,New York,"2 oz H by HINE, .5 oz Apple Brandy, .25 oz Benedictine, .25 oz Yellow Chartreuse, 1 dash Vieux Pontarlier Absinthe Francaise Superieure, 1 dash Peychaud's Bitters",,Coupe,"Stir all the ingredients over ice, then strain into a coupe. No garnish.",
Sade's Taboo,Jessica Gonzalez,Death & Co.,New York,"2 oz H by HINE, .75 oz Cocchi Americano, .75 oz Dolin Rouge Vermouth, 1 dash Bittermens Hopped Grapefruit Bitters",,Coupe,"Stir all the ingredients over ice, then strain into a coupe. No garnish.",
Conference,Brian Miller,Death & Co.,New York,".5 oz H by HINE, .5 oz Rye Whiskey, .5 oz Bourbon, .5 oz Calvados, 1 tsp Demerara Syrup, 2 dash Angostura Bitters, 1 dash Bittermens Xocolatl Mole Bitters","Lemon Twist, Orange Twist",Double Rocks Glass,"Stir all the ingredients over ice, then strain into a double rocks glass over 1 large ice cube. Garnish with a lemon twist and orange twist.
",
Piedra de sol,Graham Hunter Gregg,Expatriate,Portland,"1.5 oz Mezcal, .75 oz Montenegro Amaro Liquore Italiano, .75 oz Calisaya Liqueur, 2 dash Regans' Orange Bitters No. 6",Lemon Peel,N/A,Stir and garnish lemon peel.,
Parisian Manhattan,Clint Rogers,The Dawson,,"2 oz H by HINE, 1 oz Cocchi Americano Rosa, 1 dash Angostura Bitters, 3 drops Bittercube Cherry Bark Vanilla Bitters",Orange Peel,Old Fashioned Glass,Stir and pour over ice in an old fashioned glass. Garnish with an orange peel.,
Improved Whisky Cocktail,,,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 dash Luxardo Maraschino Liqueur, 1 dash Pontarlier Anis",,Coupe,Stir and strain into a chilled coupe.,*Old Fashioned riff
Day For Night,Eric Quilty,Bon Marché,San Francisco,"1.5 oz C. Drouin Calvados Selection, .5 oz La Quintinye Vermouth Rouge, .25 oz Pedro Ximenez Sherry, .25 oz Cannella Cinnamon Cordial, 1 dash Angostura bitters",Orange coin studded with 2 cloves,Nick & Nora,Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.,
Canary vs. the Coal Mine,Brian Means,Dirty Habit,San Francisco,".5 oz Old Forester Bonded Bourbon, .5 oz H by HINE, 1 oz Rock & Rye, 1 oz Cocchi Americano Rosa,   Activated Charcoal",Dried Apricot,Old Fashioned Glass,Stir and strain into an old fashioned glass with a large ice cube.,
In HINEsight,Brian Means,Dirty Habit,San Francisco,"1.5 oz H by HINE, 1 oz Luxardo Bitter, .5 oz Quady Muscat Wine",Orange Peel,Old Fashioned Glass,Stir and strain into an old fashioned glass. Large ice cube.,Aged for 3 months in a used Rye Barrel that previously held a cocktail with Tequila and All Spice. Can also be made to order without barrel aging it.
Cherry Bark Martinez,Josh Trabulsi,Burritt Tavern,San Francisco,"2 oz Old Tom Gin, .75 oz Carpano Antica, 1 spoon Luxardo Maraschino Liqueur, 1 dash Angostura bitters, 2 dash Bittercube cherry bark bitters","Star anise, Lemon peel",N/A,Stir and strain into stem. Garnish torched star anise and discarded lemon peel.,
Coos Bay,Morgan Schick,Bon Vivants,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Etter Zuger Kirsch, .5 oz Doug Fir Riesling Syrup*, 15 dash Kombu tincture**",Seaweed,Old Fashioned Glass,Stir and strain over ice.,"*Steep 3 Doug Fir Tip Tea bags in 750 ml riesling for 2 hours. Add 500 m

**Soak seaweed in vodka to taste"
Divine Aspect,,Land and Water Co.,,"1 oz No.3 London Dry Gin, 1 oz Apple-infused Wild Turkey Bourbon 101, 1 oz Luxardo Apricot Liqueur",Lemon peel,Coupe,Stir and strain up into cocktail glass.,
Above My Pay Grade,Brian Means,Dirty Habit,San Francisco,"1.5 oz Semper Fi White Whiskey, .75 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter, 3 dash House-made Citrus Bitters",Orange Twist,Coupe,Stir and strain.,Aged in used Salt Washed Bourbon Barrel for 4 months. Can also be made to order without barrel aging it.
Manhattan,,,,"2 oz Rye or Bourbon Whiskey, 1 oz Tempus Fugit Spirits Alessio Vermouth di Torino, 2 dash Tempus Fugit Abbott's Bitters",Luxardo Cherry,Old Fashioned Glass,Stir and strain. Garnish with a Luxardo Maraschino Cherry.,
Polish Penance,Brian Means,Dirty Habit,San Francisco,"1.5 oz House-made Slivovitz (Plum Brandy), 1 oz Chamomile Tea-Infused Noilly Prat Dry Vermouth, .5 oz King's Ginger Liqueur, 3 dash Peychaud's Bitters",Lemon Twist,Etched Rocks Glass,Stir and strain. Hoshizaki ice.,
Sloe & Steady,,Dirty Habit,San Francisco,"1.5 oz C. Drouin Calvados Selection, .75 oz Spirit Works Sloe Gin, .5 oz Bonal, 4 drops Black Salt Tincture",Orange Peel,Nick & Nora,Stir for about 20 seconds with ice and then Strain into a chilled Nick & Nora glass.,
50/50 Split,,,San Francisco,"1.5 oz Junipero Gin, .75 oz Dry Vermouth, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 dash The Bitter Truth Orange Bitters",Lemon Twist,Coupe,Stir gently and garnish with a lemon twist.,
