Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
Old Pal;Cocktail;Alcoholic;Nick and Nora Glass;Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.;Cocktailglas kühl stellen. Geben Sie die Zutaten in ein Mischglas und füllen Sie 2/3 der Zutaten mit Eis. Etwa 20 Sekunden umrühren. Cocktailglas in das Glas abseihen. Mit einer Zitronenspirale garnieren.;Raffredda un bicchiere da cocktail.  Aggiungere gli ingredienti in un mixing glass e riempire con 2/3 di ghiaccio.  Mescola per circa 20 secondi.  Filtrare nel bicchiere.  Guarnire con una scorza di limone.;https://www.thecocktaildb.com/images/media/drink/x03td31521761009.jpg;1 oz Dry Vermouth, 1 oz Campari, 2 oz Rye whiskey;N/A;N/A;N/A;N/A;N/A
Orangeade;Cocktail;Non alcoholic;Highball glass;Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.;Legen Sie einige Eiswürfel in einen großen Becher oder ein Highball-Glas, geben Sie Zitronensaft, Orangensaft, Zuckersirup hinzu und rühren Sie gut um. Mit kaltem Sodawasser auffüllen, mit einem Trinkhalm servieren.;Mettere alcuni cubetti di ghiaccio in un grande bicchiere tumbler o highball, aggiungere il succo di limone, il succo d'arancia, lo sciroppo di zucchero e mescolare bene.Rabboccare con acqua fredda di soda, servire con una cannuccia.;https://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg;Soda water, 2-3 cl Sugar syrup, 15 cl Orange juice, 5 cl Lemon juice;N/A;N/A;N/A;N/A;N/A
Orange Whip;Other/Unknown;Alcoholic;Collins Glass;Pour ingredients over ice and stir.;Zutaten über Eis gießen und umrühren.;Versare gli ingredienti sul ghiaccio e mescolare.;https://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg;Over Ice, 1 package Cream, 1 oz Vodka, 1 oz Rum, 4 oz Orange juice;N/A;N/A;N/A;N/A;N/A
Orange Oasis;Ordinary Drink;Alcoholic;Highball glass;Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.;Brandy, Gin und Orangensaft mit Eis schütteln und in ein Highball-Glas über Eiswürfel abseihen. Mit Ginger Ale füllen, umrühren und servieren.;Shakerare brandy, gin e succo d'arancia con ghiaccio e filtrare in un bicchiere highball con cubetti di ghiaccio. Riempi con ginger ale, mescola e servi.;https://www.thecocktaildb.com/images/media/drink/su1olx1582473812.jpg;Ginger ale, 4 oz Orange juice, 1/2 oz Gin, 1/2 oz Cherry brandy;N/A;N/A;N/A;N/A;N/A
Old Fashioned;Cocktail;Alcoholic;Old-fashioned glass;Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.  Fill the glass with ice cubes and add whiskey.    Garnish with orange twist, and a cocktail cherry.;Zuckerwürfel in ein old fashioned Glas geben und mit Bitterstoff sättigen, einen Schuss Wasser hinzufügen. Vermischen, bis sie sich auflösen.;Mettere la zolletta di zucchero nel bicchiere vecchio stile e saturare con il bitter, aggiungere un goccio di acqua naturale.  Pestare finché non si scioglie.  Riempi il bicchiere con cubetti di ghiaccio e aggiungi il whisky.  Guarnire con una scorza d'arancia e una ciliegina al maraschino.;https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg;1 dash Water, 1 cube Sugar, 2 dashes Angostura bitters, 4.5 cL Bourbon;N/A;N/A;N/A;N/A;N/A
Oreo Mudslide;Ordinary Drink;Alcoholic;Collins Glass;Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.;Mischen Sie Wodka, Kahlua, Bailey's, Eis und den Oreo gut in einem Mixer. In ein großes mattiertes Glas geben. Mit Schlagsahne und einer Kirsche garnieren.;Mescola bene Vodka, Kahlua, Baileys, gelato e un oreo in un frullatore. Versare in un grande bicchiere. Guarnire con panna montata e una ciliegia.;https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg;1 Oreo cookie, 2 scoops Vanilla ice-cream, 1 oz Baileys irish cream, 1 oz Kahlua, 1 oz Vodka;N/A;N/A;N/A;N/A;N/A
Orange Push-up;Ordinary Drink;Alcoholic;Hurricane glass;Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!;Mische Liköre in einem Mixer. Eine halbe Kugel Eis hinzufügen und untermischen. Mit einer Orange- und Kirschfahne garnieren. So gut, dass es in deinem Mund schmilzt.;Unisci i liquori in un frullatore.  Aggiungere mezzo misurino di ghiaccio e frullare.  Guarnire con una bandiera di arancia e ciliegia.;https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg;1 splash Sour mix, 4 oz Orange juice, 0.5 oz Grenadine, 1.5 oz Spiced rum;N/A;N/A;N/A;N/A;N/A
Oatmeal Cookie;Cocktail;Alcoholic;Mason jar;Just mix it all together.  It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.    Tastes like an oatmeal cookie.;Einfach alles zusammenmischen. Es soll ein Shot sein, aber es funktioniert genauso gut wie ein richtiges Getränk in Erwachsenengröße über viel Eis. Schmeckt wie ein Haferflockenplätzchen.;Mescola tutto insieme.  È pensato per essere uno shot, ma funziona perfettamente come una bevanda per adulti con un sacco di ghiaccio.;https://www.thecocktaildb.com/images/media/drink/bsvmlg1515792693.jpg;1/2 part Goldschlager, 1 part Jagermeister, 4 parts Butterscotch schnapps, 2 parts Bailey, 2 parts Kahlua;N/A;N/A;N/A;N/A;N/A
Orange Rosemary Collins;Cocktail;Alcoholic;Highball glass;Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.;N/A;Aggiungere gli alcolici sul fondo del bicchiere e sopra ugualmente con le bevande del mixer. Guarnire con fettine d'arancia nel bicchiere e sopra un po 'di rosmarino.;https://www.thecocktaildb.com/images/media/drink/mokcas1604179977.jpg; 1 top Soda Water, 25 ml Rosemary Syrup, 1 top Lemon Juice, 1 top Orange Juice, 1 shot Gin;N/A;N/A;N/A;Orange Peel, Rosemary;N/A
Orange Scented Hot Chocolate;Cocoa;Non alcoholic;Coffee mug;Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.;Alle Zutaten in einem Topf vermengen und bei schwacher Hitze umrühren, bis die Schokolade schmilzt. Die Hitze erhöhen und unter ständigem Rühren zum Kochen bringen. Vom Herd nehmen und ununterbrochen schaumig schlagen. Wieder aufwärmen und wieder zum Kochen bringen. Vom Herd nehmen, verquirlen und schaumig rühren. Wiederholen Sie das Erwärmen und Verquirlen noch einmal. Orangenschale entsorgen (Kann 2 Stunden im Voraus zubereitet werden. Bei Raumtemperatur stehen lassen. Vor dem Servieren einfach zum Kochen bringen, vom Herd nehmen und schaumig schlagen.) Gießen Sie die heiße Schokolade in Kaffeetassen. Macht 2 Portionen.;Unisci tutti gli ingredienti tranne l'arancia in una casseruola media.  Mescolare a fuoco basso fino a quando il cioccolato si scioglie.  Aumenta la fiamma e porta a ebollizione, mescolando spesso.  Spegni il fuoco e frulla fino a renderle leggermente spumose.  Accendi il fuoco e riporta a bollore.  Spegni il fuoco, sbattere fino a quando non diventa spumoso.  Scartare la buccia d'arancia.  (Può essere preparato 2 ore prima. Lasciar riposare a temperatura ambiente. Prima di servire, portate appena ad ebollizione, spegnete il fuoco e frullate fino a quando non sarà spumoso) Versare la cioccolata calda nelle tazze da caffè. Per 2 porzioni.;https://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg;1/8 tsp Ground Nutmeg, 1/2 tsp Espresso, 3 strips Orange peel, 4 oz Chopped bittersweet, 2 cups Milk;N/A;N/A;N/A;N/A;N/A
Owen's Grandmother's Revenge;Ordinary Drink;Alcoholic;Highball glass;Add ingredients and mix in blender.;Zutaten im Mixer vermengen.;Aggiungere gli ingredienti e mescola nel frullatore.;https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg;1 cup Crushed Ice, 12 oz Frozen Lemonade, 12 oz Beer, 12 oz Whiskey;N/A;N/A;N/A;N/A;N/A
Pink Gin;Ordinary Drink;Alcoholic;White wine glass;Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.;Den Bitter in ein Weinglas gießen. Das Glas umrühren, um die Innenseite mit dem Bitter zu überziehen, den Überschuss ausschütten. Gießen Sie den Gin in das Glas. Füge kein Eis hinzu.;Distribuire nei bicchieri i cubetti di ghiaccio, i lamponi, il pepe e il gin e versare l’acqua tonica.;https://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg;2 oz Gin, 3 dashes Bitters;N/A;N/A;N/A;N/A;N/A
Paradise;Ordinary Drink;Alcoholic;Cocktail glass;Shake together over ice. Strain into cocktail glass and serve chilled.;Zusammen über Eis schütteln. In ein Cocktailglas abseihen und gekühlt servieren.;Shakerare tutti gli ingredienti insieme al ghiaccio. Filtrare nella coppetta da cocktail e servire freddo.;https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg;3 parts Orange Juice, 4 parts Apricot Brandy, 7 parts Gin;N/A;N/A;N/A;N/A;N/A
Pink Lady;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg;1 Egg white, 1 tsp Light cream, 1 tsp Grenadine, 1/2 oz Gin;N/A;N/A;N/A;N/A;N/A
Pegu Club;Cocktail;Alcoholic;Cocktail glass;Shake, strain, up, cocktail glass;Schütteln, abseihen, auffüllen, Cocktailglas.;Agitare, filtrare, su un bicchiere da cocktail;https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg;1 dash Orange Bitters, 1 dash Angostura Bitters, 3/4 oz Lime Juice, 3/4 oz Orange Curacao, 1/2 oz Gin;N/A;N/A;N/A;N/A;N/A
Pink Moon;Cocktail;Alcoholic;Whiskey Glass;Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!;N/A;N/A;https://www.thecocktaildb.com/images/media/drink/lnjoc81619696191.jpg;30 ml Lime Juice, 25 ml Elderflower cordial, 1 shot Coconut Liqueur, 1 shot Gin;N/A;N/A;N/A;Blackberries;N/A
Porto flip;Ordinary Drink;Alcoholic;Cocktail glass;Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.;Die Zutaten in einem Mixer mit Eis verrühren. In ein Glas abseihen, garnieren und servieren.;Shakerare gli ingredienti insieme in un mixer con ghiaccio.  Filtrare nel bicchiere, guarnire e servire.;https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg;2 parts Egg Yolk, 9 parts Port, 3 parts Brandy;N/A;N/A;N/A;N/A;N/A
Penicillin;Cocktail;Alcoholic;Old-fashioned glass;Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.;Schütteln Sie gemischten Scotch, Zitronensaft, Honigsirup und Ingwersirup mit Eis. Über großes Eis in gekühltem Rocks Glas abseihen. Geben Sie rauchigen Scotch darauf (verwenden Sie unbedingt einen rauchigen Scotch wie z.B. Islay Single Malt). Mit kandiertem Ingwer garnieren.;Shakerare Scotch Blended, succo di limone, sciroppo di miele e sciroppo di zenzero con ghiaccio.  Filtrare con del ghiaccio in un bicchiere freddo.  Versa sopra il bicchiere uno scotch fumoso (assicurati di usare uno scotch affumicato come un single malt di Islay).  Guarnire con lo zenzero candito.;https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg;1/4 oz Islay single malt Scotch, 2 tsp Ginger Syrup, 2 tsp Honey syrup, 3/4 oz Lemon Juice, 2 oz Blended Scotch;N/A;N/A;N/A;N/A;N/A
Pina Colada;Ordinary Drink;Alcoholic;Collins glass;Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.;Mit zerstoßenem Eis im Mixer mischen, bis es glatt ist. In ein gekühltes Glas geben, garnieren und servieren.;Mescolare con ghiaccio tritato in un frullatore fino a che liscio.  Versare in un bicchiere freddo, guarnire e servire.;https://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg;3 tblsp Pineapple, 3 tblsp Coconut milk, 3 oz Light rum;N/A;N/A;N/A;N/A;N/A
Pink Penocha;Punch / Party Drink;Alcoholic;Punch bowl;mix all ingredients into bowl keep iced stir frequently;Alle Zutaten in die Schüssel geben und gleichmäßig rühren.;mescolare tutti gli ingredienti nella ciotola, tenere la bevanda sempre fredda, mescolare spesso;https://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg;1 gal Cranberry juice, 1 gal Orange juice, 1750 ml Peach schnapps, 1750 ml Vodka, 750 ml Everclear;N/A;N/A;N/A;N/A;N/A
Pure Passion;Cocktail;Alcoholic;Whiskey sour glass;Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.;N/A;Mescolare tutti gli ingredienti con un agitatore per cocktail e servire con ghiaccio tritato con menta e farina commestibile se disponibile.;https://www.thecocktaildb.com/images/media/drink/4tymma1604179273.jpg; 1 dash Peach Bitters, 15 ml Passion fruit syrup, 30 ml Lime Juice, 20 ml Passoa, 40 ml Rum;N/A;N/A;N/A;Mint;N/A
Popped cherry;Ordinary Drink;Alcoholic;Highball glass;Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!;Serviert über Eis in einem hohen Glas mit einer entsteinten Kirsche (kann mehr entsteinte Kirschen hinzufügen, wenn sie in der Stimmung sind)!;Servito con ghiaccio in un bicchiere alto con una ciliegia snocciolata (puoi aggiungere più ciliegie snocciolata se ne hai voglia)!;https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg;4 oz Orange juice, 4 oz Cranberry juice, 2 oz Cherry liqueur, 2 oz Vodka;N/A;N/A;N/A;N/A;N/A
Poppy Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Shake ingredients with ice, strain into a cocktail glass, and serve.;Die Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg;3/4 oz White Creme de Cacao, 1/2 oz Gin;N/A;N/A;N/A;N/A;N/A
Port Wine Flip;Ordinary Drink;Alcoholic;Whiskey sour glass;Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.;Alle Zutaten (außer Muskatnuss) mit Eis schütteln und in ein Whiskey-Sourglas abseihen. Muskatnuss darüber streuen und servieren.;Shakerare tutti gli ingredienti (tranne la noce moscata) con ghiaccio e filtrare in un bicchiere da whisky sour. Cospargere di noce moscata e servire.;https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg;Nutmeg, 1 whole Egg, 1 tsp Powdered sugar, 2 tsp Light cream, 1/2 oz Port;N/A;N/A;N/A;N/A;N/A
Planter's Punch;Punch / Party Drink;Alcoholic;Collins glass;"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.";"Alle Zutaten, außer den Bitterstoffen, in einen mit Eis gefüllten Shaker geben. Gut schütteln. In ein großes, mit Eis gefülltes Glas gießen. Füge Angostura-Bitter hinzu, ""on top"". Mit Cocktailkirsche und Ananas garnieren.";Versare tutti gli ingredienti, in uno shaker pieno di ghiaccio.  Agitare bene.  Versare in un bicchiere capiente, pieno di ghiaccio.  Guarnire con ananas.;https://www.thecocktaildb.com/images/media/drink/fdk8a31606854815.jpg;1 part Pineapple juice, 2 parts Orange juice, 1/2 part Orgeat syrup, 1 part Dark rum;N/A;N/A;N/A;N/A;N/A
Pineapple Paloma;Cocktail;Alcoholic;Collins glass;Rub the rim of each glass with lime slice and dip into salt.  Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.  Give it a quick stir.  Garnish with fresh pineapple or lime.;N/A;Strofina il bordo di ogni bicchiere con uno spicchio di lime e salalo.  Aggiungi ghiaccio, tequila, succo di pompelmo, succo di lime e aggiungi la soda all'ananas.  Dagli una rapida mescolata.  Guarnire con ananas fresco o lime.;https://www.thecocktaildb.com/images/media/drink/pg8iw31593351601.jpg;Rimmed Pepper, 8 oz Pineapple Juice, 1 oz Fresh Lime Juice, 4 oz Grapefruit Juice, 4 oz Tequila;N/A;N/A;N/A;Lime;N/A
Port And Starboard;Ordinary Drink;Alcoholic;Pousse cafe glass;Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.;Vorsichtig in ein Pousse-Café-Glas gießen, damit die Creme de Menthe auf Grenadine schwimmt. Ohne zu mischen servieren.;Versare con cura in un bicchiere pousse-cafè, in modo che la crema di menta galleggi sulla granatina. Servire senza mescolare.;https://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg;1/2 oz Green Creme de Menthe, 1 tblsp Grenadine;N/A;N/A;N/A;N/A;N/A
Port Wine Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Stir ingredients with ice, strain into a cocktail glass, and serve.;Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.;Mescolare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg;1/2 tsp Brandy, 1/2 oz Port;N/A;N/A;N/A;N/A;N/A
Pysch Vitamin Light;Ordinary Drink;Non alcoholic;Collins Glass;Shake with ice.;Mit Eis schütteln.;Shakerare con ghiaccio.;https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg;Ice, 1 part Pineapple juice, 1 part Apple juice, 1 part Orange juice;N/A;N/A;N/A;N/A;N/A
Pink Panty Pulldowns;Ordinary Drink;Alcoholic;Collins Glass;Shake well;Gut schütteln;Versa in un bicchiere tutti gli ingredienti. Agitare bene;https://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg;2 cups Vodka, 2 cups Pink lemonade, 1 L Sprite;N/A;N/A;N/A;N/A;N/A
Passion Fruit Martini;Cocktail;Alcoholic;Cocktail glass;Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.;N/A;Versare tutti gli ingredienti in un bicchiere e mescolare. Guarnire con mezzo pezzo di frutto della passione.;https://www.thecocktaildb.com/images/media/drink/6trfve1582473527.jpg;1 glass Passion fruit juice, 1/2 shot Sugar Syrup, 1 shot Vodka;N/A;N/A;N/A;N/A;N/A
Pineapple Gingerale Smoothie;Other/Unknown;Non alcoholic;Highball Glass;Throw everything into a blender and liquify.;Alles in einen Mixer geben und aufschlagen.;Getta tutto in un frullatore e liquida.;https://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg;1/2 Pineapple, 1/4 inch Ginger;N/A;N/A;N/A;N/A;N/A
Quentin;Ordinary Drink;Alcoholic;Cocktail glass;In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Rum, Kahlua und Sahne mischen. Gut schütteln. In ein Cocktailglas abseihen und mit der Muskatnuss garnieren.;In uno shaker riempito a metà con cubetti di ghiaccio, unire il rum, il Kahlua e la panna. Filtrare in una coppetta da cocktail e guarnire con la noce moscata. Agitare bene.;https://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg;1/8 tsp Grated Nutmeg, 1 oz Light cream, 1/2 oz Kahlua, 1/2 oz Dark rum;N/A;N/A;N/A;N/A;N/A
Queen Bee;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg;1/2 oz Cream Sherry, 1/2 oz Lime vodka, 1 oz Coffee brandy;N/A;N/A;N/A;N/A;N/A
Quick F**K;Shot;Alcoholic;Shot glass;In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream;In einem Schnapsglas zuerst 1/3 Kahlua geben. Dann 1/3 Miduri, ergänzt durch 1/3 Bailey's irish Cream.;In un bicchierino aggiungere prima 1/3 di Kahlua.  Quindi 1/3 di Midori, completando con 1/3 di crema irlandese di bailey;https://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg;1 part Baileys irish cream, 1 part Midori melon liqueur, 1 part Kahlua;N/A;N/A;N/A;N/A;N/A
Quick-sand;Ordinary Drink;Alcoholic;Highball glass;Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!;Einfach den Orangensaft zugeben und ganz schnell gießen, um den Sambucca mit dem Orangensaft zu mischen. Der Saft MUSS Fruchtfleisch enthalten!;Basta aggiungere il succo d'arancia, abbastanza veloce per amalgamare la sambuca con il succo d'arancia.  Il succo deve avere polpa di frutta!;https://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg;250 ml Orange juice, 25 ml Black Sambuca;N/A;N/A;N/A;N/A;N/A
Queen Charlotte;Ordinary Drink;Alcoholic;Collins glass;Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.;Rotwein und Grenadine in ein Collins-Glas über Eiswürfel gießen. Mit Zitronen-Limetten-Soda auffüllen, umrühren und servieren.;Versare il vino rosso e la granatina in un bicchiere Collins sopra i cubetti di ghiaccio.Riempi con la soda al limone e lime, mescola e servi.;https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg;Lemon-lime soda, 1 oz Grenadine, 2 oz Red wine;N/A;N/A;N/A;N/A;N/A
Queen Elizabeth;Ordinary Drink;Alcoholic;Cocktail glass;Stir all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.;Mescolare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg;1/2 tsp Benedictine, 1/2 oz Gin, 1/2 oz Dry Vermouth;N/A;N/A;N/A;N/A;N/A
Quaker's Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg;2 tsp Raspberry syrup, Juice of 1/4 Lemon, 3/4 oz Brandy, 3/4 oz Light rum;N/A;N/A;N/A;N/A;N/A
Quarter Deck Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Stir all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.;Mescolare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg;Juice of 1/2 Lime, 1/3 oz Cream Sherry, 1/2 Light rum;N/A;N/A;N/A;N/A;N/A
Rose Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.;In einem Cocktailshaker vermengen und dann in ein gekühltes Glas abseihen. Garnieren und servieren.;Shakerare insieme in uno shaker, quindi filtrare in un bicchiere freddo.  Guarnire e servire.;https://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg;Powdered sugar, 1 tsp Grenadine, 1/2 tsp Lemon juice, 1/2 oz Apricot brandy, 1 oz Gin, 1/2 oz Dry Vermouth;N/A;N/A;N/A;N/A;N/A
Radler;Ordinary Drink;Alcoholic;Highball glass;Pour beer into large mug, slowly add the 7-up (or Sprite).;Bier in einen großen Becher gießen, langsam den 7-up (oder Sprite) hinzufügen.;Versare la birra in una tazza grande, aggiungere lentamente il 7up (o Sprite).;https://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg;12 oz 7-Up, 12 oz Beer;N/A;N/A;N/A;N/A;N/A
Rum Sour;Ordinary Drink;Alcoholic;Whiskey sour glass;In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Rum, Zitronensaft und Zucker vermengen. Gut schütteln. In ein Sourglas abseihen und mit der Orangenscheibe und der Kirsche garnieren.;In uno shaker riempito a metà con cubetti di ghiaccio, unire il rum, il succo di limone e lo zucchero. Agitare bene. Filtrare in un bicchiere sour e guarnire con la fetta d'arancia e la ciliegia.;https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg;1 Maraschino cherry, 1 Orange, 1/2 tsp Superfine Sugar, 1 oz Lemon juice, 2 oz Light rum;N/A;N/A;N/A;N/A;N/A
Rum Toddy;Ordinary Drink;Alcoholic;Old-fashioned glass;Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.;Puderzucker in Wasser in einem old-fashioned Glas auflösen. Rum und einen Eiswürfel dazugeben und umrühren. Die Zitronenschale hinzufügen und servieren.;Sciogliere lo zucchero in acqua in un bicchiere vecchio stile. Aggiungere il rum e un cubetto di ghiaccio e mescolare. Aggiungere la scorza di limone e servire;https://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg;2 tsp Water, 1 twist Lemon peel, 2 tsp Powdered sugar, 2 oz Light or dark Rum;N/A;N/A;N/A;N/A;N/A
Rum Punch;Punch / Party Drink;Alcoholic;Punch bowl;Mix all ingredients in a punch bowl and serve.;Alle Zutaten in einer Bowle mischen und servieren.;Mescolare tutti gli ingredienti in una ciotola da punch e servire.;https://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg;Crushed Ice, 355 ml Frozen Orange juice, 355 ml Frozen Fruit punch, 1 large Bottle Ginger ale, Mikey bottle Rum;N/A;N/A;N/A;N/A;N/A
Royal Fizz;Ordinary Drink;Alcoholic;Collins glass;Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.;Alle Zutaten (außer Cola) mit Eis schütteln und in ein gekühltes Collins-Glas abseihen. Mit Cola auffüllen und servieren.;Shakerare tutti gli ingredienti (tranne la cola) con ghiaccio e filtrare in un bicchiere collins freddo. Riempi con cola e servi;https://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg;Coca-Cola, 1 whole Egg, 2 oz Sweet and sour, 1 oz Gin;N/A;N/A;N/A;N/A;N/A
